ChimeraID	HostBGC	HostOrganism	HostCompound	DonorBGC	DonorOrganism	DonorProtein	DonorProduct	DonorLength	SwapPosition	AssemblySize	MeanDJCS	MinDJCS	MaxDJCS	MeanDeltaH	Rescued	RescueLinker	ProteinIDs
CHM_04968	BGC0001544	Aspergillus campestris IBT 28561	chlorflavonin	BGC0000186	Burkholderia thailandensis E264	BTH_II1674	polyketide synthase	5628	0	3	99.4412	99.1185	99.7639	0.1517	False		BTH_II1674;P168DRAFT_331182;P168DRAFT_294109
CHM_02729	BGC0002869	Streptomyces sp. CB04723	Tripmycin A	BGC0002250	Pyrenophora tritici-repentis Pt-1C-BFP	PTRG_04244	lovastatin nonaketide synthase	3875	1	3	99.44	99.1476	99.7325	0.1533	False		HXS80_03335;PTRG_04244;HXS80_03465
CHM_02850	BGC0001677	Penicillium roqueforti	mycophenolic acid	BGC0001001	Lyngbya majuscula	AAS98787.1	JamP	1808	0	2	99.435	99.435	99.435	0.16	False		AAS98787.1;API82664.1
CHM_06076	BGC0002021	Actinoplanes missouriensis 431	fogacin	BGC0000034	Streptomyces sp. FR-008	AAQ82568.1	FscD	9550	1	2	99.435	99.435	99.435	0.16	False		AMIS_50350;AAQ82568.1
CHM_02165	BGC0000122	Nannocystis pusilla	phenylnannolone A	BGC0000297	Planktothrix agardhii NIVA-CYA 126	CAJ21198.2	non-ribosomal peptide synthetase	1598	1	3	99.434	99.0891	99.7789	0.1517	False		AHN85651.1;CAJ21198.2;AHN85644.1
CHM_07745	BGC0002500	Streptomyces pactum	NFAT-133	BGC0000186	Burkholderia thailandensis E264	BTH_II1666	polyketide synthase, putative	5566	4	6	99.4296	98.1975	99.9754	0.1253	False		QPP46759.1;QPP46749.1;QPP46750.1;QPP46757.1;BTH_II1666;QPP46760.1
CHM_07914	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0001073	Micromonospora sp. TP-A0468	AFJ52712.1	SNF2/RAD54 family helicase	929	0	3	99.4234	99.1476	99.6992	0.1567	False		AFJ52712.1;ATEG_03630;ATEG_03635
CHM_02015	BGC0002237	Aspergillus oryzae RIB40	dichlorodiaporthin	BGC0000113	Streptomyces caelestis	AAC46024.1	polyketide synthase modules 1 and 2	4340	1	3	99.4202	99.3372	99.5032	0.1617	False		AO090701000525;AAC46024.1;AO090701000530
CHM_08471	BGC0002480	Sphaerospermopsis sp. LEGE 00249	chlorosphaerolactylate D	BGC0001162	Moorea producens JHB	AHH34189.1	polyketide synthase	2294	0	3	99.4195	99.2317	99.6073	0.16	False		AHH34189.1;H5968_00855;H5968_00880
CHM_08978	BGC0001073	Micromonospora sp. TP-A0468	kosinostatin	BGC0002253	Aspergillus sp. FM242	QKG86295.1	non-reducing polyketide synthase	2076	2	3	99.4135	98.8359	99.9911	0.125	False		AFJ52660.1;AFJ52712.1;QKG86295.1
CHM_02890	BGC0001677	Penicillium roqueforti	mycophenolic acid	BGC0001729	Penicillium brasilianum	BAV69312.1	PrhK	646	0	2	99.4113	99.4113	99.4113	0.1633	False		BAV69312.1;API82664.1
CHM_02894	BGC0001677	Penicillium roqueforti	mycophenolic acid	BGC0002190	Acremonium chrysogenum ATCC 11550	ACRE_048170	Conidial yellow pigment biosynthesis polyketide synthase-like protein	2649	0	2	99.4113	99.4113	99.4113	0.1633	False		ACRE_048170;API82664.1
CHM_02904	BGC0001677	Penicillium roqueforti	mycophenolic acid	BGC0001394	Myxococcus stipitatus DSM 14675	MYSTI_04325	polyketide synthase	1880	0	2	99.4113	99.4113	99.4113	0.1633	False		MYSTI_04325;API82664.1
CHM_02916	BGC0001677	Penicillium roqueforti	mycophenolic acid	BGC0002324	Archangium violaceum	JQX13_35820	myxochelin non-ribosomal peptide synthetase MxcG	1440	0	2	99.4113	99.4113	99.4113	0.1633	False		JQX13_35820;API82664.1
CHM_06092	BGC0002021	Actinoplanes missouriensis 431	fogacin	BGC0001827	Sarocladium sp. 'schorii'	AWM95793.1	R4 protein	632	1	2	99.4113	99.4113	99.4113	0.1633	False		AMIS_50350;AWM95793.1
CHM_08420	BGC0002480	Sphaerospermopsis sp. LEGE 00249	chlorosphaerolactylate D	BGC0001299	Sorangium cellulosum	ALD83704.1	tAT polyketide synthase	2590	0	3	99.4095	99.2317	99.5874	0.1617	False		ALD83704.1;H5968_00855;H5968_00880
CHM_07845	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0000038	Streptomyces coelicolor A3(2)	CAD55505.1	putative acyl-CoA carboxylase complex A subunit	590	0	3	99.4089	99.1185	99.6992	0.1583	False		CAD55505.1;ATEG_03630;ATEG_03635
CHM_02762	BGC0002869	Streptomyces sp. CB04723	Tripmycin A	BGC0001857	Aspergillus sp. CLMG-2019a	QBE85649.1	BuaA	3987	1	3	99.4025	99.2588	99.5463	0.1633	False		HXS80_03335;QBE85649.1;HXS80_03465
CHM_09062	BGC0001073	Micromonospora sp. TP-A0468	kosinostatin	BGC0000345	Streptomyces hygroscopicus	AHB38509.1	EpnH	2020	2	3	99.3971	98.8359	99.9584	0.1367	False		AFJ52660.1;AFJ52712.1;AHB38509.1
CHM_02795	BGC0002869	Streptomyces sp. CB04723	Tripmycin A	BGC0001005	Bacillus subtilis	AHI59105.1	L-glutamine-D-fructose-6-phosphate amidotransferase	600	1	3	99.3903	98.8359	99.9447	0.14	False		HXS80_03335;AHI59105.1;HXS80_03465
CHM_09101	BGC0001073	Micromonospora sp. TP-A0468	kosinostatin	BGC0002342	Myxococcus xanthus	QKW94294.1	short-chain dehydrogenase/reductase SDR	921	2	3	99.3903	98.8359	99.9447	0.14	False		AFJ52660.1;AFJ52712.1;QKW94294.1
CHM_02866	BGC0001677	Penicillium roqueforti	mycophenolic acid	BGC0002869	Streptomyces sp. CB04723	HXS80_03465	non-ribosomal peptide synthetase	919	0	2	99.3871	99.3871	99.3871	0.1667	False		HXS80_03465;API82664.1
CHM_04939	BGC0001544	Aspergillus campestris IBT 28561	chlorflavonin	BGC0001299	Sorangium cellulosum	ALD83711.1	hypothetical protein	559	1	3	99.3868	99.3624	99.4113	0.1667	False		P168DRAFT_323099;ALD83711.1;P168DRAFT_294109
CHM_09068	BGC0001073	Micromonospora sp. TP-A0468	kosinostatin	BGC0001827	Sarocladium sp. 'schorii'	AWM95789.1	non-reduciing polyketide synthase methylorcinaldehyde synthase	2729	2	3	99.3865	98.8359	99.9371	0.1417	False		AFJ52660.1;AFJ52712.1;AWM95789.1
CHM_09102	BGC0001073	Micromonospora sp. TP-A0468	kosinostatin	BGC0001069	Sorangium cellulosum	AAY89049.1	polyketide synthase	5843	0	3	99.3838	98.7679	99.9998	0.12	False		AAY89049.1;AFJ52712.1;AFJ52700.1
CHM_04899	BGC0001544	Aspergillus campestris IBT 28561	chlorflavonin	BGC0001303	Micromonospora sp. RL09-050-HVF-A	ALA09346.1	hypothetical protein	1821	0	3	99.3808	98.9977	99.7639	0.1583	False		ALA09346.1;P168DRAFT_331182;P168DRAFT_294109
CHM_07893	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0001005	Bacillus subtilis	AHI59110.1	locillomycin synthase C	2126	0	3	99.3792	99.0591	99.6992	0.1617	False		AHI59110.1;ATEG_03630;ATEG_03635
CHM_08394	BGC0002480	Sphaerospermopsis sp. LEGE 00249	chlorosphaerolactylate D	BGC0000954	Chondromyces crocatus	CAQ18828.1	polyketide synthase	2172	1	3	99.3639	99.0286	99.6992	0.1633	False		H5968_00850;CAQ18828.1;H5968_00880
CHM_04888	BGC0001544	Aspergillus campestris IBT 28561	chlorflavonin	BGC0002869	Streptomyces sp. CB04723	HXS80_03340	DHA2 family efflux MFS transporter permease subunit	516	1	3	99.3624	99.3624	99.3624	0.17	False		P168DRAFT_323099;HXS80_03340;P168DRAFT_294109
CHM_05140	BGC0001857	Aspergillus sp. CLMG-2019a	burnettramic acid A	BGC0001162	Moorea producens JHB	AHH34188.1	fatty acyl ACP ligase	817	1	3	99.3578	99.0891	99.6266	0.1667	False		QBE85643.1;AHH34188.1;QBE85649.1
CHM_08453	BGC0002480	Sphaerospermopsis sp. LEGE 00249	chlorosphaerolactylate D	BGC0001073	Micromonospora sp. TP-A0468	AFJ52712.1	SNF2/RAD54 family helicase	929	0	3	99.3563	99.2317	99.481	0.17	False		AFJ52712.1;H5968_00855;H5968_00880
CHM_09053	BGC0001073	Micromonospora sp. TP-A0468	kosinostatin	BGC0002021	Actinoplanes missouriensis 431	AMIS_50350	putative beta-ketoacyl synthase	593	2	3	99.3471	98.8359	99.8584	0.155	False		AFJ52660.1;AFJ52712.1;AMIS_50350
CHM_02087	BGC0002237	Aspergillus oryzae RIB40	dichlorodiaporthin	BGC0000181	Bacillus velezensis FZB42	CAG23968.1	polyketide synthase type I	1906	1	3	99.3416	98.8022	99.881	0.1533	False		AO090701000525;CAG23968.1;AO090701000530
CHM_02914	BGC0001677	Penicillium roqueforti	mycophenolic acid	BGC0000008	Aspergillus flavus	AAS90025.1	HexB	1888	0	2	99.3372	99.3372	99.3372	0.1733	False		AAS90025.1;API82664.1
CHM_09362	BGC0000275	Streptomyces glaucescens	tetracenomycin C	BGC0000133	Amycolatopsis orientalis	AFI57007.1	QmnA3	1292	1	2	99.3372	99.3372	99.3372	0.1733	False		AAA67509.1;AFI57007.1
CHM_08367	BGC0002480	Sphaerospermopsis sp. LEGE 00249	chlorosphaerolactylate D	BGC0002869	Streptomyces sp. CB04723	HXS80_03335	acyl-CoA dehydrogenase	608	1	3	99.3367	98.698	99.9754	0.1383	False		H5968_00850;HXS80_03335;H5968_00880
CHM_08343	BGC0002480	Sphaerospermopsis sp. LEGE 00249	chlorosphaerolactylate D	BGC0001001	Lyngbya majuscula	AAS98794.1	sucrose synthase	804	1	3	99.3361	98.8022	99.87	0.155	False		H5968_00850;AAS98794.1;H5968_00880
CHM_09086	BGC0001073	Micromonospora sp. TP-A0468	kosinostatin	BGC0002480	Sphaerospermopsis sp. LEGE 00249	H5968_00850	non-ribosomal peptide synthetase (depsipeptide synthetase)	2325	2	3	99.3349	98.8359	99.8339	0.1583	False		AFJ52660.1;AFJ52712.1;H5968_00850
CHM_07932	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0001162	Moorea producens JHB	AHH34189.1	polyketide synthase	2294	0	3	99.3328	98.9663	99.6992	0.1667	False		AHH34189.1;ATEG_03630;ATEG_03635
CHM_07640	BGC0002500	Streptomyces pactum	NFAT-133	BGC0000038	Streptomyces coelicolor A3(2)	CAC22144.1	putative type I polyketide synthase	2152	4	6	99.3276	97.325	99.9754	0.1287	False		QPP46759.1;QPP46749.1;QPP46750.1;QPP46757.1;CAC22144.1;QPP46760.1
CHM_08975	BGC0001073	Micromonospora sp. TP-A0468	kosinostatin	BGC0000032	Streptomyces chartreusis NRRL 3882	AEH42471.1	CoA ligase	521	2	3	99.3217	98.8359	99.8074	0.1617	False		AFJ52660.1;AFJ52712.1;AEH42471.1
CHM_09015	BGC0001073	Micromonospora sp. TP-A0468	kosinostatin	BGC0001303	Micromonospora sp. RL09-050-HVF-A	ALA09359.1	type I modular PKS	853	0	3	99.319	98.7679	99.87	0.1567	False		ALA09359.1;AFJ52712.1;AFJ52700.1
CHM_09057	BGC0001073	Micromonospora sp. TP-A0468	kosinostatin	BGC0001299	Sorangium cellulosum	ALD83703.1	tAT polyketide synthase	7601	0	3	99.3132	98.7679	99.8584	0.1583	False		ALD83703.1;AFJ52712.1;AFJ52700.1
CHM_08427	BGC0002480	Sphaerospermopsis sp. LEGE 00249	chlorosphaerolactylate D	BGC0001394	Myxococcus stipitatus DSM 14675	MYSTI_04323	polyketide synthase	1852	1	3	99.3046	98.698	99.9113	0.1533	False		H5968_00850;MYSTI_04323;H5968_00880
CHM_08970	BGC0001073	Micromonospora sp. TP-A0468	kosinostatin	BGC0000133	Amycolatopsis orientalis	AFI57030.1	exodeoxyribonuclease	734	0	3	99.3009	98.7679	99.8339	0.1617	False		AFI57030.1;AFJ52712.1;AFJ52700.1
CHM_07811	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0000383	Photorhabdus laumondii subsp. laumondii TTO1	PluTT01m_09695	polyketide synthase	616	2	3	99.2978	98.8022	99.7934	0.165	False		ATEG_03629;ATEG_03630;PluTT01m_09695
CHM_09069	BGC0001073	Micromonospora sp. TP-A0468	kosinostatin	BGC0001005	Bacillus subtilis	AHI59115.1	multidrug transporter	1010	0	3	99.2944	98.7679	99.8209	0.1633	False		AHI59115.1;AFJ52712.1;AFJ52700.1
CHM_07905	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0002480	Sphaerospermopsis sp. LEGE 00249	H5968_00855	polyketide synthase	1286	0	3	99.2842	98.8692	99.6992	0.1717	False		H5968_00855;ATEG_03630;ATEG_03635
CHM_07847	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0000038	Streptomyces coelicolor A3(2)	CAC37885.1	putative decarboxylase	530	2	3	99.2807	98.7679	99.7934	0.1667	False		ATEG_03629;ATEG_03630;CAC37885.1
CHM_07904	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0002324	Archangium violaceum	JQX13_35810	(2,3-dihydroxybenzoyl)adenylate synthase	550	2	3	99.2807	98.7679	99.7934	0.1667	False		ATEG_03629;ATEG_03630;JQX13_35810
CHM_07857	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0001544	Aspergillus campestris IBT 28561	P168DRAFT_294109	cytochrome P450	523	0	3	99.2675	98.8359	99.6992	0.1733	False		P168DRAFT_294109;ATEG_03630;ATEG_03635
CHM_02864	BGC0001677	Penicillium roqueforti	mycophenolic acid	BGC0002250	Pyrenophora tritici-repentis Pt-1C-BFP	PTRG_04244	lovastatin nonaketide synthase	3875	0	2	99.2588	99.2588	99.2588	0.1833	False		PTRG_04244;API82664.1
CHM_08349	BGC0002480	Sphaerospermopsis sp. LEGE 00249	chlorosphaerolactylate D	BGC0000383	Photorhabdus laumondii subsp. laumondii TTO1	PluTT01m_09655	non-ribosomal peptide synthetase	1065	1	3	99.2521	98.5524	99.9518	0.1517	False		H5968_00850;PluTT01m_09655;H5968_00880
CHM_09105	BGC0001073	Micromonospora sp. TP-A0468	kosinostatin	BGC0000112	Streptomyces carzinostaticus subsp. neocarzinostaticus	AAM77986.1	iterative type I polyketide synthase	1753	0	3	99.2502	98.7679	99.7325	0.1733	False		AAM77986.1;AFJ52712.1;AFJ52700.1
CHM_08194	BGC0002324	Archangium violaceum	myxochelin B	BGC0002253	Aspergillus sp. FM242	QKG86294.1	MFS general substrate transporter	777	2	3	99.2451	98.5149	99.9754	0.1467	False		JQX13_35810;JQX13_35820;QKG86294.1
CHM_09024	BGC0001073	Micromonospora sp. TP-A0468	kosinostatin	BGC0000113	Streptomyces caelestis	AAC46027.1	polyketide synthase module 6	1569	0	3	99.242	98.7679	99.7161	0.175	False		AAC46027.1;AFJ52712.1;AFJ52700.1
CHM_08254	BGC0002324	Archangium violaceum	myxochelin B	BGC0001857	Aspergillus sp. CLMG-2019a	QBE85649.1	BuaA	3987	2	3	99.2398	98.5149	99.9646	0.15	False		JQX13_35810;JQX13_35820;QBE85649.1
CHM_02924	BGC0001677	Penicillium roqueforti	mycophenolic acid	BGC0001073	Micromonospora sp. TP-A0468	AFJ52660.1	nonribosomal peptide synthetase	520	0	2	99.2317	99.2317	99.2317	0.1867	False		AFJ52660.1;API82664.1
CHM_09364	BGC0000275	Streptomyces glaucescens	tetracenomycin C	BGC0000032	Streptomyces chartreusis NRRL 3882	AEH42491.1	polyketide synthase	3956	1	2	99.2317	99.2317	99.2317	0.1867	False		AAA67509.1;AEH42491.1
CHM_08215	BGC0002324	Archangium violaceum	myxochelin B	BGC0002083	Burkholderia gladioli	LvStA_05073	Polyketide biosynthesis protein BaeE	1119	2	3	99.226	98.5149	99.9371	0.1567	False		JQX13_35810;JQX13_35820;LvStA_05073
CHM_09081	BGC0001073	Micromonospora sp. TP-A0468	kosinostatin	BGC0002324	Archangium violaceum	JQX13_35820	myxochelin non-ribosomal peptide synthetase MxcG	1440	0	3	99.2249	98.7679	99.6818	0.1783	False		JQX13_35820;AFJ52712.1;AFJ52700.1
CHM_08360	BGC0002480	Sphaerospermopsis sp. LEGE 00249	chlorosphaerolactylate D	BGC0002083	Burkholderia gladioli	LvStA_05071	Asparagine synthetase [glutamine-hydrolyzing] 1	665	0	3	99.2179	99.2041	99.2317	0.1883	False		LvStA_05071;H5968_00855;H5968_00880
CHM_09012	BGC0001073	Micromonospora sp. TP-A0468	kosinostatin	BGC0001828	Streptomyces griseus	ANZ22990.1	ZinR1	953	0	3	99.1776	98.7679	99.5874	0.1867	False		ANZ22990.1;AFJ52712.1;AFJ52700.1
CHM_09428	BGC0000275	Streptomyces glaucescens	tetracenomycin C	BGC0001005	Bacillus subtilis	AHI59108.1	locillomycin synthase A	2325	1	2	99.1761	99.1761	99.1761	0.1933	False		AAA67509.1;AHI59108.1
CHM_09454	BGC0000275	Streptomyces glaucescens	tetracenomycin C	BGC0001162	Moorea producens JHB	AHH34188.1	fatty acyl ACP ligase	817	1	2	99.1761	99.1761	99.1761	0.1933	False		AAA67509.1;AHH34188.1
CHM_07710	BGC0002500	Streptomyces pactum	NFAT-133	BGC0001394	Myxococcus stipitatus DSM 14675	MYSTI_04325	polyketide synthase	1880	4	6	99.1751	97.0153	99.9754	0.144	False		QPP46759.1;QPP46749.1;QPP46750.1;QPP46757.1;MYSTI_04325;QPP46760.1
CHM_08391	BGC0002480	Sphaerospermopsis sp. LEGE 00249	chlorosphaerolactylate D	BGC0000297	Planktothrix agardhii NIVA-CYA 126	CAJ21199.2	hypothetical protein	736	1	3	99.1683	98.3994	99.9371	0.1617	False		H5968_00850;CAJ21199.2;H5968_00880
CHM_07887	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0001394	Myxococcus stipitatus DSM 14675	MYSTI_04327	alpha keto acid dehydrogenase complex, E2 component, dihydrolipoamide acetyltransferase	580	0	3	99.1626	98.6261	99.6992	0.1833	False		MYSTI_04327;ATEG_03630;ATEG_03635
CHM_07936	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0000117	Streptomyces avermitilis	BAB69189.1	luxR-family transcriptional regulatory protein	931	1	3	99.1603	98.7332	99.5874	0.1883	False		ATEG_03629;BAB69189.1;ATEG_03635
CHM_04959	BGC0001544	Aspergillus campestris IBT 28561	chlorflavonin	BGC0000008	Aspergillus flavus	AAS90024.1	HexA	1671	0	3	99.1582	98.5524	99.7639	0.18	False		AAS90024.1;P168DRAFT_331182;P168DRAFT_294109
CHM_08997	BGC0001073	Micromonospora sp. TP-A0468	kosinostatin	BGC0002083	Burkholderia gladioli	LvStA_05070	Polyketide synthase PksL	3248	0	3	99.1571	98.7679	99.5463	0.19	False		LvStA_05070;AFJ52712.1;AFJ52700.1
CHM_07880	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0002141	Streptomyces bottropensis DO-45	AKT74269.1	TxnP2	543	2	3	99.1542	98.5149	99.7934	0.1783	False		ATEG_03629;ATEG_03630;AKT74269.1
CHM_08967	BGC0001073	Micromonospora sp. TP-A0468	kosinostatin	BGC0001971	Okeania hirsuta	AZH23821.1	MgiH	1681	0	3	99.1465	98.7679	99.525	0.1917	False		AZH23821.1;AFJ52712.1;AFJ52700.1
CHM_02271	BGC0002083	Burkholderia gladioli	gladiofungin A	BGC0002253	Aspergillus sp. FM242	QKG86292.1	enoyl reductase	544	2	5	99.1389	97.8049	99.9843	0.1692	False		LvStA_05064;LvStA_05069;QKG86292.1;LvStA_05071;LvStA_05073
CHM_09090	BGC0001073	Micromonospora sp. TP-A0468	kosinostatin	BGC0002137	Streptomyces sp. NRRL F-3213	IF70_RS33770	AfsR/SARP family transcriptional regulator	695	0	3	99.1355	98.7679	99.5032	0.1933	False		IF70_RS33770;AFJ52712.1;AFJ52700.1
CHM_09096	BGC0001073	Micromonospora sp. TP-A0468	kosinostatin	BGC0000275	Streptomyces glaucescens	AAA67511.1	hydroxylase	561	0	3	99.1244	98.7679	99.481	0.195	False		AAA67511.1;AFJ52712.1;AFJ52700.1
CHM_08275	BGC0002324	Archangium violaceum	myxochelin B	BGC0001299	Sorangium cellulosum	ALD83711.1	hypothetical protein	559	2	3	99.1237	98.5149	99.7325	0.185	False		JQX13_35810;JQX13_35820;ALD83711.1
CHM_04944	BGC0001544	Aspergillus campestris IBT 28561	chlorflavonin	BGC0001394	Myxococcus stipitatus DSM 14675	MYSTI_04321	polyketide synthase	2143	0	3	99.1204	98.4768	99.7639	0.1833	False		MYSTI_04321;P168DRAFT_331182;P168DRAFT_294109
CHM_02928	BGC0001677	Penicillium roqueforti	mycophenolic acid	BGC0000275	Streptomyces glaucescens	AAA67509.1	tetracenomycin C resistance and export protein	538	0	2	99.1185	99.1185	99.1185	0.2	False		AAA67509.1;API82664.1
CHM_09386	BGC0000275	Streptomyces glaucescens	tetracenomycin C	BGC0001677	Penicillium roqueforti	API82664.1	putative polyketide synthase	2305	1	2	99.1185	99.1185	99.1185	0.2	False		AAA67509.1;API82664.1
CHM_09402	BGC0000275	Streptomyces glaucescens	tetracenomycin C	BGC0000954	Chondromyces crocatus	CAQ18832.1	polyketide synthase	2178	1	2	99.1185	99.1185	99.1185	0.2	False		AAA67509.1;CAQ18832.1
CHM_07829	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0002869	Streptomyces sp. CB04723	HXS80_03465	non-ribosomal peptide synthetase	919	2	3	99.1158	98.4383	99.7934	0.1817	False		ATEG_03629;ATEG_03630;HXS80_03465
CHM_08281	BGC0002324	Archangium violaceum	myxochelin B	BGC0001394	Myxococcus stipitatus DSM 14675	MYSTI_04321	polyketide synthase	2143	2	3	99.1071	98.5149	99.6992	0.1883	False		JQX13_35810;JQX13_35820;MYSTI_04321
CHM_08308	BGC0002324	Archangium violaceum	myxochelin B	BGC0001073	Micromonospora sp. TP-A0468	AFJ52712.1	SNF2/RAD54 family helicase	929	2	3	99.0983	98.5149	99.6818	0.19	False		JQX13_35810;JQX13_35820;AFJ52712.1
CHM_02873	BGC0001677	Penicillium roqueforti	mycophenolic acid	BGC0001303	Micromonospora sp. RL09-050-HVF-A	ALA09356.1	type I modular PKS	1586	1	2	99.0891	99.0891	99.0891	0.2033	False		API82663.1;ALA09356.1
CHM_05104	BGC0001857	Aspergillus sp. CLMG-2019a	burnettramic acid A	BGC0002734	Aspergillus terreus NIH2624	ATEG_03635	conserved hypothetical protein	705	1	3	99.0783	98.5895	99.5671	0.1967	False		QBE85643.1;ATEG_03635;QBE85649.1
CHM_09048	BGC0001073	Micromonospora sp. TP-A0468	kosinostatin	BGC0002190	Acremonium chrysogenum ATCC 11550	ACRE_048150	Transcriptional activator protein-like protein	648	0	3	99.0775	98.7679	99.3871	0.2017	False		ACRE_048150;AFJ52712.1;AFJ52700.1
CHM_09008	BGC0001073	Micromonospora sp. TP-A0468	kosinostatin	BGC0001677	Penicillium roqueforti	API82663.1	putative P450 monooxygenase and putative metallo-beta-lactamase superfamily II	739	2	3	99.0737	98.8359	99.3116	0.2033	False		AFJ52660.1;AFJ52712.1;API82663.1
CHM_09038	BGC0001073	Micromonospora sp. TP-A0468	kosinostatin	BGC0001857	Aspergillus sp. CLMG-2019a	QBE85649.1	BuaA	3987	2	3	99.0737	98.8359	99.3116	0.2033	False		AFJ52660.1;AFJ52712.1;QBE85649.1
CHM_06102	BGC0002021	Actinoplanes missouriensis 431	fogacin	BGC0002324	Archangium violaceum	JQX13_35810	(2,3-dihydroxybenzoyl)adenylate synthase	550	1	2	99.0591	99.0591	99.0591	0.2067	False		AMIS_50350;JQX13_35810
CHM_09366	BGC0000275	Streptomyces glaucescens	tetracenomycin C	BGC0002253	Aspergillus sp. FM242	QKG86297.1	fungal specific transcription factor domain protein	794	1	2	99.0591	99.0591	99.0591	0.2067	False		AAA67509.1;QKG86297.1
CHM_07835	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0000105	Streptomyces nanchangensis	AAP42856.1	NanA2	2223	2	3	99.0366	98.2797	99.7934	0.1883	False		ATEG_03629;ATEG_03630;AAP42856.1
CHM_09077	BGC0001073	Micromonospora sp. TP-A0468	kosinostatin	BGC0002734	Aspergillus terreus NIH2624	ATEG_03629	hypothetical protein	2590	2	3	99.0338	98.8359	99.2317	0.2083	False		AFJ52660.1;AFJ52712.1;ATEG_03629
CHM_04887	BGC0001544	Aspergillus campestris IBT 28561	chlorflavonin	BGC0002869	Streptomyces sp. CB04723	HXS80_03335	acyl-CoA dehydrogenase	608	0	3	99.0218	98.2797	99.7639	0.1917	False		HXS80_03335;P168DRAFT_331182;P168DRAFT_294109
CHM_09002	BGC0001073	Micromonospora sp. TP-A0468	kosinostatin	BGC0002250	Pyrenophora tritici-repentis Pt-1C-BFP	PTRG_04244	lovastatin nonaketide synthase	3875	2	3	99.02	98.8359	99.2041	0.21	False		AFJ52660.1;AFJ52712.1;PTRG_04244
CHM_08272	BGC0002324	Archangium violaceum	myxochelin B	BGC0002141	Streptomyces bottropensis DO-45	AKT74272.1	TxnRr1	500	2	3	99.0091	98.5149	99.5032	0.205	False		JQX13_35810;JQX13_35820;AKT74272.1
CHM_08998	BGC0001073	Micromonospora sp. TP-A0468	kosinostatin	BGC0002083	Burkholderia gladioli	LvStA_05073	Polyketide biosynthesis protein BaeE	1119	1	3	98.9999	98.0708	99.929	0.1767	False		AFJ52660.1;LvStA_05073;AFJ52700.1
CHM_08345	BGC0002480	Sphaerospermopsis sp. LEGE 00249	chlorosphaerolactylate D	BGC0000967	uncultured Candidatus Entotheonella sp.	BAP05588.1	CalJ	563	0	3	98.9998	98.7679	99.2317	0.2117	False		BAP05588.1;H5968_00855;H5968_00880
CHM_09054	BGC0001073	Micromonospora sp. TP-A0468	kosinostatin	BGC0002141	Streptomyces bottropensis DO-45	AKT74259.1	TxnA4	561	0	3	98.9998	98.7679	99.2317	0.2117	False		AKT74259.1;AFJ52712.1;AFJ52700.1
CHM_02486	BGC0002083	Burkholderia gladioli	gladiofungin A	BGC0000112	Streptomyces carzinostaticus subsp. neocarzinostaticus	AAM78005.1	oxidoreductase	552	2	5	98.9885	97.8504	99.481	0.205	False		LvStA_05064;LvStA_05069;AAM78005.1;LvStA_05071;LvStA_05073
CHM_08354	BGC0002480	Sphaerospermopsis sp. LEGE 00249	chlorosphaerolactylate D	BGC0002237	Aspergillus oryzae RIB40	AO090701000527		514	0	3	98.9825	98.7332	99.2317	0.2133	False		AO090701000527;H5968_00855;H5968_00880
CHM_09695	BGC0002342	Myxococcus xanthus	myxofacycline C	BGC0001162	Moorea producens JHB	AHH34188.1	fatty acyl ACP ligase	817	3	5	98.9708	97.984	99.9801	0.1883	False		QKW94305.1;QKW94294.1;QKW94304.1;AHH34188.1;QKW94285.1
CHM_08224	BGC0002324	Archangium violaceum	myxochelin B	BGC0001677	Penicillium roqueforti	API82664.1	putative polyketide synthase	2305	2	3	98.9631	98.5149	99.4113	0.2117	False		JQX13_35810;JQX13_35820;API82664.1
